SettlementPoint,Year,Month,AveragePrice
HB_NORTH,2017,2,19.448199404761905
HB_SOUTH,2017,2,21.07936011904762
HB_WEST,2017,2,17.61668154761905
LZ_AEN,2017,2,20.60532738095238
LZ_CPS,2017,2,20.919479166666665
LZ_HOUSTON,2017,2,23.51721726190476
LZ_LCRA,2017,2,20.66081845238095
LZ_NORTH,2017,2,19.550014880952382
LZ_RAYBN,2017,2,20.369151785714287
LZ_SOUTH,2017,2,21.793690476190477
LZ_WEST,2017,2,18.477053571428574
HB_BUSAVG,2017,3,22.569892328398385
HB_HOUSTON,2017,3,28.213297442799465
HB_HUBAVG,2017,3,23.233230148048452
HB_NORTH,2017,3,21.22777927321669
HB_SOUTH,2017,3,23.680753701211305
HB_WEST,2017,3,19.813593539703902
LZ_AEN,2017,3,22.99701211305518
LZ_CPS,2017,3,23.861547779273216
LZ_HOUSTON,2017,3,28.74200538358008
LZ_LCRA,2017,3,23.437133243606997
LZ_NORTH,2017,3,21.839407806191115
LZ_RAYBN,2017,3,21.907160161507402
LZ_SOUTH,2017,3,26.528209959623148
LZ_WEST,2017,3,20.25119784656797
HB_BUSAVG,2017,4,23.705083333333334
HB_HOUSTON,2017,4,32.29573611111111
HB_HUBAVG,2017,4,24.83048611111111
HB_NORTH,2017,4,21.410555555555554
HB_SOUTH,2017,4,25.609402777777778
HB_WEST,2017,4,19.99609722222222
LZ_AEN,2017,4,24.118083333333335
LZ_CPS,2017,4,25.337902777777778
LZ_HOUSTON,2017,4,32.96706944444444
LZ_LCRA,2017,4,24.477416666666667
LZ_NORTH,2017,4,21.975805555555556
LZ_RAYBN,2017,4,22.213430555555554
LZ_SOUTH,2017,4,28.549888888888887
LZ_WEST,2017,4,20.388569444444446
HB_BUSAVG,2017,5,25.087352150537633
HB_HOUSTON,2017,5,31.53317204301075
HB_HUBAVG,2017,5,25.90502688172043
HB_NORTH,2017,5,23.41991935483871
HB_SOUTH,2017,5,26.495013440860216
HB_WEST,2017,5,22.166612903225808
LZ_AEN,2017,5,25.293844086021505
LZ_CPS,2017,5,26.537029569892475
LZ_HOUSTON,2017,5,32.36264784946236
LZ_LCRA,2017,5,25.63795698924731
LZ_NORTH,2017,5,24.557513440860216
LZ_RAYBN,2017,5,24.00133064516129
LZ_SOUTH,2017,5,29.9797311827957
LZ_WEST,2017,5,22.86779569892473
HB_BUSAVG,2017,6,27.66915277777778
HB_HOUSTON,2017,6,33.168347222222224
HB_HUBAVG,2017,6,28.51384722222222
HB_NORTH,2017,6,25.890569444444445
HB_SOUTH,2017,6,29.654694444444445
HB_WEST,2017,6,25.331694444444445
LZ_AEN,2017,6,27.916638888888887
LZ_CPS,2017,6,30.416
LZ_HOUSTON,2017,6,33.66891666666667
LZ_LCRA,2017,6,28.639083333333332
LZ_NORTH,2017,6,26.89373611111111
LZ_RAYBN,2017,6,26.125041666666668
LZ_SOUTH,2017,6,36.78344444444444
LZ_WEST,2017,6,27.512319444444444
HB_BUSAVG,2017,7,31.454274193548386
HB_HOUSTON,2017,7,34.37583333333333
HB_HUBAVG,2017,7,31.864408602150537
HB_NORTH,2017,7,30.65431451612903
HB_SOUTH,2017,7,32.129462365591394
HB_WEST,2017,7,30.29364247311828
LZ_AEN,2017,7,31.40143817204301
LZ_CPS,2017,7,32.11529569892473
LZ_HOUSTON,2017,7,34.725833333333334
LZ_LCRA,2017,7,31.9057123655914
LZ_NORTH,2017,7,31.186841397849463
LZ_RAYBN,2017,7,30.760497311827958
LZ_SOUTH,2017,7,34.19329301075269
LZ_WEST,2017,7,31.130174731182795
HB_BUSAVG,2017,8,27.50701612903226
HB_HOUSTON,2017,8,29.401720430107527
HB_HUBAVG,2017,8,27.83861559139785
HB_NORTH,2017,8,26.832728494623655
HB_SOUTH,2017,8,28.31502688172043
HB_WEST,2017,8,26.817043010752688
LZ_AEN,2017,8,27.465618279569892
LZ_CPS,2017,8,28.137567204301074
LZ_HOUSTON,2017,8,30.031478494623656
LZ_LCRA,2017,8,27.678010752688174
LZ_NORTH,2017,8,27.060362903225805
LZ_RAYBN,2017,8,26.824825268817204
LZ_SOUTH,2017,8,33.457849462365594
LZ_WEST,2017,8,27.21391129032258
HB_BUSAVG,2017,9,24.184166666666666
HB_HOUSTON,2017,9,26.542944444444444
HB_HUBAVG,2017,9,24.519694444444443
HB_NORTH,2017,9,23.34611111111111
HB_SOUTH,2017,9,25.515097222222224
